Id;Question;Answer
187;Kuşadası - Karpuzlu istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Kuşadası - Karpuzlu istikametinde giden 1.sefer,2.sefer,3.sefer,4.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir.
188;Köşk - Çine istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Köşk - Çine istikametinde giden 2.sefer,4.sefer ve 6.seferlerimizde engelli arabasıyla seyahat edilebilmektedir.
189;Çine - Köşk istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Çine - Köşk istikametinde giden 1.sefer,3.sefer,5.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir.
190;Yeni Pazar - Karacasu istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Yeni Pazar - Karacasu istikametinde giden 1.sefer,3.sefer,4.sefer ve 6.seferlerimizde engelli arabasıyla seyahat edilebilmektedir.
191;Karacasu - Yeni Pazar istikametinde giden otobüs seferlerinden hangilerinde engelli arabasıyla seyahat edebilirim?;Karacasu - Yeni Pazar istikametinde giden 2.sefer,5.sefer ve 7.seferlerimizde engelli arabasıyla seyahat edilebilmektedir.
192;605 hangi duraklardan geçiyor?;605 numara Adü, Forum, Meydan, Tren Garı ve Otogardan geçiyor.
193;606 numara Koçarlı’dan saat kaçta geçiyor?;606 numara Koçarlı’dan 09:05, 11:25, 12:30, 14:50, 17:05, 19:35, 21:10 saatlerinde geçiyor.
194;Adü'den Otogar'a hangi otobüs gidiyor?;Adü'den Otogar'a 605 numaralı otobüs gidiyor.
195;Forum’dan hangi otobüsler geçiyor?;Forum Aydın durağından 605 numaralı otobüs geçiyor.
196;607 numarada tekerlekli sandalye var mı?;607 numaranın 1, 3, 5 ve 7'nci seferlerde tekerlekli sandalye bulunmaktadır.
197;Karpuzlu'dan Koçarlı'ya öğrenci ne kadar?;Karpuzlu’dan Koçarlı’ya öğrenci ücreti 2,80 TL’dir.
198;Kuşadası'ndan Karpuzlu'ya son otobüs ne zaman?;Kuşadası’ndan Karpuzlu’ya son otobüs seferi saat 19:15'tedir.
199;Otogardan Adü'ye seferler kaçta başlıyor?;Otogardan Adü’ye ilk sefer 6:15'te başlıyor.
